date,admin2,ipc_phase,population_affected
2011-04-01,Ab Ala,3,
2011-04-01,Ababo,1,
2011-04-01,Abay Chomen,1,
2011-04-01,Abaya,2,
2011-04-01,Abe Dongoro,1,
2011-04-01,Abergele,3,
2011-04-01,Abeshege,1,
2011-04-01,Abichuna Gne'a,2,
2011-04-01,Abobo,2,
2011-04-01,Abuna G/Beret,2,
2011-04-01,Ada'a,1,
2011-04-01,Adaba,2,
2011-04-01,Adadle,4,
2011-04-01,Adama,2,
2011-04-01,Adami Tulu Jido Kombolcha,2,
2011-04-01,Adda Berga,2,
2011-04-01,Addi Arekay,2,
2011-04-01,Adola,2,
2011-04-01,Adwa,2,
2011-04-01,Afambo,3,
2011-04-01,Afdem,3,
2011-04-01,Afder,3,
2011-04-01,Afdera,3,
2011-04-01,Afele Kola (Dima),1,
2011-04-01,Agalometi,1,
2011-04-01,Agarfa,2,
2011-04-01,Ahferom,2,
2011-04-01,Akaki,1,
2011-04-01,Akobo,3,
2011-04-01,Alaba SP Woreda,2,
2011-04-01,Alaje,2,
2011-04-01,Alamata,2,
2011-04-01,Albuko,3,
2011-04-01,Ale,1,
2011-04-01,Aleltu,2,
2011-04-01,Alem Gena,1,
2011-04-01,Aleta Wendo,2,
2011-04-01,Alfa,1,
2011-04-01,Alge Sachi,1,
2011-04-01,Alicho Woriro,2,
2011-04-01,Amaro SP Woreda,3,
2011-04-01,Ambasel,3,
2011-04-01,Ambo Zuria,2,
2011-04-01,Ameya,1,
2011-04-01,Amibara,3,
2011-04-01,Amigna,2,
2011-04-01,Amuru,1,
2011-04-01,Analemmo,3,
2011-04-01,Anchar,2,
2011-04-01,Anderacha,1,
2011-04-01,Aneded,1,
2011-04-01,Anfilo,1,
2011-04-01,Angolelana Tera,2,
2011-04-01,Anigacha,3,
2011-04-01,Ankasha,1,
2011-04-01,Ankober,2,
2011-04-01,Antsokiya,2,
2011-04-01,Arba Minch Zuria,3,
2011-04-01,Arbe Gonna,2,
2011-04-01,Arero,3,
2011-04-01,Argoba,2,
2011-04-01,Argoba Special,3,
2011-04-01,Aroresa,2,
2011-04-01,Arsi Negele,3,
2011-04-01,Artuma,3,
2011-04-01,Artuma Fursi,2,
2011-04-01,Aseko,2,
2011-04-01,Asgede Tsimbila,2,
2011-04-01,Assagirt,2,
2011-04-01,Assosa,2,
2011-04-01,Atsbi Wenberta,2,
2011-04-01,Awabel,1,
2011-04-01,Aware,4,
2011-04-01,Awasa Town,2,
2011-04-01,Awash Fentale,3,
2011-04-01,Awassa Zuria,2,
2011-04-01,Awra,3,
2011-04-01,Ayida,3,
2011-04-01,Ayira Guliso,1,
2011-04-01,Ayisha,3,
2011-04-01,Aysaita,3,
2011-04-01,Babile,3,
2011-04-01,Babo,1,
2011-04-01,Badele Zuria,1,
2011-04-01,Bahirdar Zuria,1,
2011-04-01,Bako Tibe,2,
2011-04-01,Bambasi,2,
2011-04-01,Banja,1,
2011-04-01,Bare,3,
2011-04-01,Basketo SP Woreda,1,
2011-04-01,Baso Liben,1,
2011-04-01,Basona Worena,2,
2011-04-01,Bati,2,
2011-04-01,Becho,1,
2011-04-01,Bedeno,2,
2011-04-01,Begi,1,
2011-04-01,Bele Gesgar,2,
2011-04-01,Bena Tsemay,3,
2011-04-01,Bensa,2,
2011-04-01,Berahle,3,
2011-04-01,Berbere,3,
2011-04-01,Bereh,1,
2011-04-01,Berehet,2,
2011-04-01,Bero,1,
2011-04-01,Beyeda,2,
2011-04-01,Bibugn,1,
2011-04-01,Bila Seyo,1,
2011-04-01,Bilidigilu,1,
2011-04-01,Bilo Nopha,1,
2011-04-01,Bio Jiganifado,1,
2011-04-01,Bita (Big),1,
2011-04-01,Boh,4,
2011-04-01,Boji Chekorsa,1,
2011-04-01,Boji Dirmeji,1,
2011-04-01,Boke,3,
2011-04-01,Boloso Bombe,3,
2011-04-01,Boloso sore,3,
2011-04-01,Bona Zuria,2,
2011-04-01,Boneya Boshe,1,
2011-04-01,Bonke,2,
2011-04-01,Bora,2,
2011-04-01,Bore,1,
2011-04-01,Borecha,1,
2011-04-01,Boreda,3,
2011-04-01,Boricha,3,
2011-04-01,Boset,2,
2011-04-01,Bugna,3,
2011-04-01,Bule,3,
2011-04-01,Bule Hora,2,
2011-04-01,Bulen,1,
2011-04-01,Bure,1,
2011-04-01,Bure Mudaytu,3,
2011-04-01,Burji SP Woreda,3,
2011-04-01,Bursa,2,
2011-04-01,Chefa Gula,2,
2011-04-01,Cheha,2,
2011-04-01,Cheliya,2,
2011-04-01,Chena,1,
2011-04-01,Chencha,2,
2011-04-01,Chereti/Weyib,3,
2011-04-01,Cheta,1,
